City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Klaksvik,FO,45.52,overcast clouds,62.2266,-6.589,Airbnb rooms
254,Kieta,PG,83.5,light rain,-6.2167,155.6333,Uruna Bay Retreat
255,Constitucion,CL,57.56,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
256,San Patricio,US,82.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
257,Yinchuan,CN,47.23,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
258,Harper,LR,78.67,light rain,4.375,-7.7169,Screensaver
259,Bubaque,GW,74.37,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
260,Nuevo Progreso,MX,75.54,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
261,Sijunjung,ID,76.73,scattered clouds,-0.6876,100.9537,Hotel Bukik Gadang
262,Mabaruma,GY,72.73,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
264,Lufilufi,WS,83.07,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
267,Matara,LK,76.39,few clouds,5.9485,80.5353,Amaloh Boutique Resort
268,Beyneu,KZ,56.25,few clouds,45.3167,55.2,NUR
269,Damghan,IR,59.22,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
270,Nantucket,US,44.71,clear sky,41.2835,-70.0995,Jared Coffin House
271,Sitka,US,40.89,moderate rain,57.0531,-135.33,Westmark Sitka
272,Tura,IN,71.08,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
273,Moron,AR,65.97,clear sky,-34.6534,-58.6198,Hotel Morón
274,Nago,JP,63.45,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
275,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
276,Ambovombe,MG,69.15,clear sky,-25.1667,46.0833,RELAHARA
279,Dovers,VC,78.76,scattered clouds,12.8833,-61.1833,Ocean Breeze
280,Victor Harbor,AU,64.89,few clouds,-35.5667,138.6167,McCracken Country Club
282,Mehendiganj,BD,80.71,broken clouds,22.8167,90.5333,"জেলা পরিষদ ডাকবাংলো, মেহেন্দিগঞ্জ, বরিশাল"
284,Suluq,LY,67.53,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
287,Caluquembe,AO,60.58,moderate rain,-13.7833,14.6833,Hotel Kalukembe
288,Tessalit,ML,83.28,clear sky,20.1986,1.0114,
289,Grottammare,IT,43.83,overcast clouds,42.9888,13.8649,Hotel La Perla Preziosa
290,Kavaratti,IN,82.13,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
291,Ahipara,NZ,69.73,light rain,-35.1667,173.1667,Ahipara Holiday Park
293,Inirida,CO,74.91,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
294,Korla,CN,54.05,scattered clouds,41.7597,86.1469,Gulisitan Hotel
295,Laguna,US,80.89,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
296,Kruisfontein,ZA,60.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
297,El Alto,PE,70.75,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
303,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
304,Jalapa,MX,64.58,overcast clouds,19.5333,-96.9167,Hotel Mision Xalapa Plaza de las Convenciones
305,Samarai,PG,83.12,overcast clouds,-10.6167,150.6667,Nuli Sapi
306,Ancud,CL,46.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
307,Phan Thiet,VN,81.61,broken clouds,10.9333,108.1,Hotel Saigon-PT
308,Wasilla,US,45.95,clear sky,61.5814,-149.4394,Alaska's Select Inn Wasilla
309,Labuhan,ID,81.79,broken clouds,-6.8844,112.2051,DoubleFAG
310,Shimonoseki,JP,56.28,clear sky,33.95,130.95,Toyoko INN Shimonoseki Kaikyo Yume Tower mae
311,Sturgis,US,41.07,moderate rain,41.7992,-85.4192,Best Western Plus Howe Inn
312,Paveh,IR,52.63,clear sky,35.0434,46.3565,اقامتگاه بوم‌گردی حسن ساعدی
313,Byron Bay,AU,81.72,scattered clouds,-28.65,153.6167,Backpackers Inn
314,Grand-Lahou,CI,79.29,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
315,Alugan,PH,81.01,moderate rain,12.2188,125.4808,JM Lodge
316,Saint-Joseph,RE,72.1,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
317,Artyom,AZ,68.14,clear sky,40.4723,50.333,Pir hos
318,Carutapera,BR,75.47,overcast clouds,-1.195,-46.02,Lidera
319,Manjacaze,MZ,71.02,light rain,-24.7117,33.8828,Hotel Gani
322,Rawson,AR,64.4,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
323,Sao Filipe,CV,70.59,scattered clouds,14.8961,-24.4956,Hotel Xaguate
324,Ariquemes,BR,69.24,scattered clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
327,Nioro,GM,76.17,overcast clouds,13.35,-15.75,
328,Beidao,CN,54.82,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
329,Sahuaripa,MX,83.86,clear sky,29.05,-109.2333,Estatua de Sahuaripa
331,Yulara,AU,73.96,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
332,Sinnamary,GF,78.08,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
333,Adrar,MR,75.54,clear sky,20.5022,-10.0711,
334,Villamontes,BO,66.56,overcast clouds,-21.25,-63.5,Hotel Raldes
335,Bayji,IQ,69.51,clear sky,34.9311,43.487,مروان /عدنان
336,Broken Hill,AU,66.06,broken clouds,-31.95,141.4333,Royal Exchange Hotel
337,Skibbereen,IE,44.11,clear sky,51.55,-9.2667,The West Cork Hotel
338,Bucerias,MX,73.98,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
340,La Palma,US,66.87,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
341,Geraldton,AU,77.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
343,Cabo San Lucas,MX,78.1,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
344,Chisec,GT,78.98,clear sky,15.8167,-90.2833,Hotel Estancia De La Virgen
345,Jiuquan,CN,51.19,clear sky,39.7432,98.5174,Jiuquan Hotel
347,Miraflores,MX,79.45,scattered clouds,19.2167,-98.8083,Hotel Mansión
349,Sibi,PK,78.51,broken clouds,29.5448,67.8764,Jail Superintendent House
350,Itaituba,BR,74.21,broken clouds,-4.2761,-55.9836,Hotel Campos
352,Arrecife,ES,62.58,clear sky,28.963,-13.5477,Hotel Lancelot
354,Trairi,BR,74.71,overcast clouds,-3.2778,-39.2689,janelas do mar
357,Waingapu,ID,81.5,clear sky,-9.6567,120.2641,Pondok Wisata Elim
358,Sao Domingos,BR,70.84,scattered clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
359,Mount Abu,IN,65.35,clear sky,24.6,72.7,Hotel Oasis
360,Sao Goncalo Do Amarante,BR,77.13,overcast clouds,-3.6072,-38.9683,Sunshine Inn
361,Oxilithos,GR,53.13,clear sky,38.5833,24.1167,Hotel Stomio Beach
363,Tianpeng,CN,55.08,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
